"id","name","abbreviation","if","if5","sci","casup","casbase","publisher","issn","eissn","official_url","rss_url"
"21","Nature","Nature","48.5","55","1","综合性期刊1区","综合性期刊1区","Springer Nature","1476-4687","0028-0836","https://www.nature.com/nature/research-articles","https://www.nature.com/nature.rss"
"22","Reviews of Modern Physics","Rev. Mod. Phys.","44.8","56.3","1","物理与天体物理1区","物理1区",,"0034-6861","1539-0756",,
"23","Nature Reviews Disease Primers","Nat. Rev. Dis. Primers","60.6","104.8","1","医学1区","医学1区","Springer Nature","2056-676X",,"https://www.nature.com/nrdp/research-articles","https://www.nature.com/nrdp.rss"
"24","Journal of Financial Economics","J. Financ. Econ.","12","13.7","0","经济学1区",,"Elsevier","0304-405X",,,"https://rss.sciencedirect.com/publication/science/0304405X"
"25","Nature Energy","Nat. Energy","60.1","68.9","1","材料科学1区","工程技术1区","Springer Nature","2058-7546",,"https://www.nature.com/nenergy/research-articles","https://www.nature.com/nenergy.rss"
"26","Nature Reviews Immunology","Nat. Rev. Immunol.","60.9","77.6","1","医学1区","医学1区","Springer Nature","1474-1741","1474-1733","https://www.nature.com/nri/research-articles","https://www.nature.com/nri.rss"
"27","Nature Methods","Nat. Methods","32.1","51.7","1","生物学1区","生物1区","Springer Nature","1548-7091","1548-7105","https://www.nature.com/nmeth/research-articles","https://www.nature.com/nmeth.rss"
"28","Journal of Political Economy","J. Polit. Econ.","6.3","11","0","经济学1区",,"University of Chicago","0022-3808","1537-534X",,
"29","Nature Genetics","Nat. Genet.","29","37.4","1","生物学1区","生物1区","Springer Nature","1061-4036","1546-1718","https://www.nature.com/ng/research-articles","https://www.nature.com/ng.rss"
"30","Review of Financial Studies","Rev. Financ. Stud.","5.4","10.8","0","经济学1区",,"Oxford","1465-7368","0893-9454",,
"31","Chemical Reviews","Chem. Rev.","55.8","67.5","1","化学1区","化学1区","American Chemical Society","1520-6890","0009-2665",,"https://pubs.acs.org/action/showFeed?type=axatoc&feed=rss&jc=chreay"
"32","Annual Review of Immunology","Annu. Rev. Immunol.","33.3","37.7","1","医学1区","医学1区","Annual Reviews","1545-3278","0732-0582",,
"33","Nature Reviews Genetics","Nat. Rev. Genet.","52","57.1","1","生物学1区","生物1区","Springer Nature","1471-0056","1471-0064","https://www.nature.com/nrg/research-articles","https://www.nature.com/nrg.rss"
"34","National Vital Statistics Reports","Natl. Vital Stat. Rep.",,,"0",,,,"1551-8922","1551-8930",,
"35","MMWR Surveillance Summaries","MMWR Surveill. Summ.","49.8","34.1","1","医学1区","医学1区",,"1545-8636","1546-0738",,
"36","Nature Reviews Methods Primers","Nat. Rev. Methods Primers","56","66.9","1","综合性期刊1区",,"Springer Nature","2662-8449",,"https://www.nature.com/nrmp/research-articles","https://www.nature.com/nrmp.rss"
"152","Cancer Discovery","Cancer Discov.","33.3","33","1","医学1区","医学1区",,"2159-8274","2159-8290",,
"37","Nature Nanotechnology","Nat. Nanotechnol.","35.1","40.5","1","材料科学1区","工程技术1区","Springer Nature","1748-3387","1748-3395","https://www.nature.com/nnano/research-articles","https://www.nature.com/nnano.rss"
"38","Living Reviews in Relativity","Living Rev. Relativ.","62.5","52.4","1","物理与天体物理1区","物理1区","Springer Nature","1433-8351","2367-3613",,
"39","Academy of Management Review","Acad. Manag. Rev.","13.9","19.3","0","管理学1区",,,"0363-7425",,,
"40","Nature Materials","Nat. Mater.","38.5","46.8","1","材料科学1区","工程技术1区","Springer Nature","1476-4660","1476-1122","https://www.nature.com/nmat/research-articles","https://www.nature.com/nmat.rss"
"41","IEEE Communications Surveys and Tutorials","IEEE Commun. Surv. Tutor.","46.7","42.8","1","计算机科学1区","工程技术1区","IEEE","1553-877X",,,
"42","Nature Catalysis","Nat. Catal.","44.6","47.4","1","化学1区","化学1区","Springer Nature","2520-1158",,"https://www.nature.com/natcatal/research-articles","https://www.nature.com/natcatal.rss"
"43","Academy of Management Annals","Acad. Manag. Ann.","16.5","26.9","0","管理学1区",,,"1941-6520","1941-6067",,
"44","Nature Reviews Microbiology","Nat. Rev. Microbiol.","103.3","99.1","1","生物学1区","生物1区","Springer Nature","1740-1534","1740-1526","https://www.nature.com/nrmicro/research-articles","https://www.nature.com/nrmicro.rss"
"45","Annual Review of Psychology","Annu. Rev. Psychol.","29.4","34.4","1","心理学1区","医学1区","Annual Reviews","0066-4308","1545-2085",,
"46","American Economic Journal: Macroeconomics","Am. Econ. J.: Macroecon.","5.7","7.4","0","经济学1区",,,"1945-7707","1945-7715",,
"47","Nature Reviews Earth and Environment","Nat. Rev. Earth Environ.","71.5","73.7","1","地球科学1区",,"Springer Nature","2662-138X",,"https://www.nature.com/natrevearthenviron/research-articles","https://www.nature.com/natrevearthenviron.rss"
"48","Nature Reviews Chemistry","Nat. Rev. Chem.","51.7","49.4","1","化学1区","化学1区","Springer Nature","2397-3358",,"https://www.nature.com/natrevchem/research-articles","https://www.nature.com/natrevchem.rss"
"49","Journal of Marketing","J. Mark.","10.4","17.9","0","管理学1区",,,"1547-7185","0022-2429",,
"50","Journal of Economic Literature","J. Econ. Lit.","10.6","15.9","0","经济学1区",,,"0022-0515",,,
"51","Annual Review of Astronomy and Astrophysics","Annu. Rev. Astron. Astrophys.","32.5","41.2","1","物理与天体物理1区","地学天文1区","Annual Reviews","1545-4282","0066-4146",,
"52","Annual Review of Organizational Psychology and Organizational Behavior","Annu. Rev. Organ. Psychol. Organ. Behav.","31.1","25.1","0","管理学1区",,"Annual Reviews","2327-0608",,,
"53","The Lancet Diabetes and Endocrinology","Lancet Diabetes Endocrinol.","41.8","41.7","1","医学1区","医学1区","Elsevier","2213-8595","2213-8587",,"https://rss.sciencedirect.com/publication/science/22138587"
"54","Annual Review of Pathology: Mechanisms of Disease","Annu. Rev. Pathol.: Mech. Dis.","34.5","39.7","1","医学1区","医学1区","Annual Reviews","1553-4006","1553-4014",,
"55","Journal of Econometrics","J. Econom.","4","7.8","1","经济学2区","管理科学4区","Elsevier","0304-4076","1872-6895",,"https://rss.sciencedirect.com/publication/science/03044076"
"56","Physiological Reviews","Physiol. Rev.","28.7","47.7","1","医学1区","医学1区",,"1522-1210","0031-9333",,
"57","Immunity","Immunity","26.3","33.2","1","医学1区","医学1区","Elsevier","1097-4180","1074-7613",,"https://rss.sciencedirect.com/publication/science/10747613"
"58","Signal Transduction and Targeted Therapy","Signal Transduct. Target. Ther.","52.7","52.2","1","医学1区","医学1区","Springer Nature","2059-3635","2095-9907","https://www.nature.com/sigtrans/research-articles","https://www.nature.com/sigtrans.rss"
"59","The Lancet","Lancet","88.5","104.8","1","医学1区","医学1区","Elsevier","0140-6736","1474-547X",,"https://rss.sciencedirect.com/publication/science/01406736"
"60","Cell Metabolism","Cell Metab.","30.9","33.4","1","生物学1区","生物1区","Elsevier","1550-4131","1932-7420",,"https://rss.sciencedirect.com/publication/science/15504131"
"61","Nature Cancer","Nat. Cancer","28.5","28.6","1","医学1区",,"Springer Nature","2662-1347",,"https://www.nature.com/natcancer/research-articles","https://www.nature.com/natcancer.rss"
"62","The Lancet Neurology","Lancet Neurol.","45.5","56.2","1","医学1区","医学1区","Elsevier","1474-4465","1474-4422",,"https://rss.sciencedirect.com/publication/science/14744422"
"63","MMWR supplements","MMWR suppl.",,,"0",,,,"2380-8942","2380-8950",,
"64","Nature Photonics","Nat. Photonics","32.9","38.2","1","物理与天体物理1区","物理1区","Springer Nature","1749-4885",,"https://www.nature.com/nphoton/research-articles","https://www.nature.com/nphoton.rss"
"65","Chemical Society Reviews","Chem. Soc. Rev.","39.3","50.2","1","化学1区","化学1区","Royal Society of Chemistry","0306-0012","1460-4744",,"http://feeds.rsc.org/rss/cs"
"66","The Lancet Gastroenterology and Hepatology","Lancet Gastroenterol. Hepatol.","38.6","34","1","医学1区","医学1区","Elsevier","2468-1253",,,"https://rss.sciencedirect.com/publication/science/24681253"
"67","eLight","eLight","32.1","32.2","1","物理与天体物理1区",,"Springer Nature","2662-8643","2097-1710",,
"68","The Lancet Oncology","Lancet Oncol.","35.9","42","1","医学1区","医学1区","Elsevier","1470-2045","1474-5488",,"https://rss.sciencedirect.com/publication/science/14702045"
"69","Journal of Clinical Oncology","J. Clin. Oncol.","43.4","38.2","1","医学1区","医学1区","Wolters Kluwer","1527-7755","0732-183X",,
"70","Nature Neuroscience","Nat. Neurosci.","20","24.8","1","医学1区","医学1区","Springer Nature","1097-6256","1546-1726","https://www.nature.com/neuro/research-articles","https://www.nature.com/neuro.rss"
"71","Nature Electronics","Nat. Electron.","40.9","42","1","工程技术1区","工程技术1区","Springer Nature","2520-1131",,"https://www.nature.com/natelectron/research-articles","https://www.nature.com/natelectron.rss"
"72","Joule","Joule","35.4","43.7","1","材料科学1区","工程技术1区","Elsevier","2542-4351",,,"https://rss.sciencedirect.com/publication/science/25424351"
"73","Kidney International Supplements","Kidney Int. Suppl.","89.6","26","1","医学2区","医学1区","Elsevier","2157-1716","2157-1724",,"https://rss.sciencedirect.com/publication/science/21571716"
"74","Nature Reviews Cardiology","Nat. Rev. Cardiol.","44.2","52.9","1","医学1区","医学1区","Springer Nature","1759-5010","1759-5002","https://www.nature.com/nrcardio/research-articles","https://www.nature.com/nrcardio.rss"
"75","Journal of Hepatology","J. Hepatol.","33","28.1","1","医学1区","医学1区","Elsevier","1600-0641","0168-8278",,"https://rss.sciencedirect.com/publication/science/01688278"
"76","Reviews of Geophysics","Rev. Geophys.","37.3","34.6","1","地球科学1区","地学1区","Wiley","1944-9208","1944-9208",,"https://onlinelibrary.wiley.com/feed/19449208/most-recent"
"77","Energy and Environmental Science","Energy Environ. Sci.","31","35.2","1","材料科学1区","工程技术1区","Royal Society of Chemistry","1754-5692","1754-5706",,"http://feeds.rsc.org/rss/ee"
"78","Academy of Management Journal","Acad. Manag. J.","10.5","13.8","0","管理学1区",,,"0001-4273",,,
"79","Science","Science","45.8","49.7","1","综合性期刊1区","综合性期刊1区","AAAS","1095-9203","0036-8075","https://www.science.org/journal/science/research","https://www.science.org/action/showFeed?type=etoc&feed=rss&jc=science"
"80","Administrative Science Quarterly","Adm. Sci. Q.","6.5","13.9","0","管理学1区",,,"0001-8392","1930-3815",,
"81","Nature Immunology","Nat. Immunol.","27.6","29.2","1","医学1区","医学1区","Springer Nature","1529-2908","1529-2916","https://www.nature.com/ni/research-articles","https://www.nature.com/ni.rss"
"82","Handbook of Industrial Organization","Handb. Ind. Organ.",,,"0",,,"Elsevier","1573-448X",,,
"83","Journal of Hematology and Oncology","J. Hematol. Oncol.","40.4","34.4","1","医学1区","医学1区","Springer Nature","1756-8722",,,
"84","Organizational Research Methods","Organ. Res. Methods","7.6","14.2","0","管理学1区",,"SAGE","1552-7425","1094-4281",,
"85","Strategic Management Journal","Strateg. Manag. J.","7.2","11.5","0","管理学1区",,"Wiley","1097-0266","1097-0266",,"https://onlinelibrary.wiley.com/feed/10970266/most-recent"
"86","Nature Biomedical Engineering","Nat. Biomed. Eng.","26.7","30.5","1","医学1区","医学1区","Springer Nature","2157-846X",,"https://www.nature.com/natbiomedeng/research-articles","https://www.nature.com/natbiomedeng.rss"
"87","Nature Reviews Gastroenterology and Hepatology","Nat. Rev. Gastroenterol. Hepatol.","51.6","72.7","1","医学1区","医学1区","Springer Nature","1759-5045","1759-5053","https://www.nature.com/nrgastro/research-articles","https://www.nature.com/nrgastro.rss"
"88","Nature Reviews Physics","Nat. Rev. Phys.","39.5","53.2","1","物理与天体物理1区","物理1区","Springer Nature","2522-5820",,"https://www.nature.com/natrevphys/research-articles","https://www.nature.com/natrevphys.rss"
"89","Annual Review of Condensed Matter Physics","Annu. Rev. Condens. Matter Phys.","30.7","28.7","1","物理与天体物理2区","物理1区","Annual Reviews","1947-5454","1947-5462",,
"90","NBER Macroeconomics Annual","NBER Macroecon. Annu.","10.7","11","0","经济学1区",,"University of Chicago","1537-2642","0889-3365",,
"91","eScience","eScience","36.6","35.9","1","材料科学1区",,"KeAi","2097-2431","2667-1417",,
"92","Morbidity and Mortality Weekly Report","Morb. Mortal. Wkly. Rep.",,,"0",,,,"0149-2195","1545-861X",,
"93","Annual Review of Biochemistry","Annu. Rev. Biochem.","20.5","24.9","1","生物学1区","生物1区","Annual Reviews","1545-4509","0066-4154",,
"94","Astronomy and Astrophysics Review","Astron. Astrophys. Rev.","26.5","34.5","1","物理与天体物理1区","地学天文1区","Springer Nature","0935-4956","1432-0754",,
"95","Nature Reviews Neuroscience","Nat. Rev. Neurosci.","26.7","36.7","1","医学1区","医学1区","Springer Nature","1471-0048","1471-003X","https://www.nature.com/nrn/research-articles","https://www.nature.com/nrn.rss"
"96","Cell Stem Cell","Cell Stem Cell","20.4","21.8","1","医学1区","生物1区","Elsevier","1934-5909","1875-9777",,"https://rss.sciencedirect.com/publication/science/19345909"
"97","Molecular Cancer","Mol. Cancer","33.9","35.9","1","医学1区","医学1区","Springer Nature","1476-4598",,,
"98","Endocrine Reviews","Endocr. Rev.","22","29","1","医学1区","医学1区",,"1945-7189","0163-769X",,
"99","Annals of Mathematics Studies","Ann. Math. Stud.",,,"0",,,,"0066-2313",,,
"100","Acta Mathematica","Acta Math.","6.7","5.9","1","数学1区","数学1区","Springer Nature","0001-5962",,,
"101","Molecular Cell","Mol. Cell","16.6","17.7","1","生物学1区","生物1区","Elsevier","1097-4164","1097-2765",,"https://rss.sciencedirect.com/publication/science/10972765"
"102","Journal of the American College of Cardiology","J. Am. Coll. Cardiol.","22.3","24.2","1","医学1区","医学1区","Elsevier","1558-3597","0735-1097",,"https://rss.sciencedirect.com/publication/science/07351097"
"103","Gut","Gut","26.2","25.4","1","医学1区","医学1区","BMJ","1468-3288","0017-5749",,
"104","Advanced Materials","Adv. Mater.","26.8","28.9","1","材料科学1区","工程技术1区","Wiley","0935-9648","1521-4095",,"https://onlinelibrary.wiley.com/feed/15214095/most-recent"
"105","Cell Research","Cell Res.","25.9","36.6","1","生物学1区","生物1区","Springer Nature","1748-7838","1001-0602","https://www.nature.com/cr/research-articles","https://www.nature.com/cr.rss"
"106","Psychological Bulletin","Psychol. Bull.","19.8","28.5","1","心理学1区","医学1区","APA","0033-2909","1939-1455",,
"107","Circulation","Circulation","38.7","35.9","1","医学1区","医学1区","Wolters Kluwer","0009-7322","1524-4539",,
"108","Journal of Management","J. Manag.","9","15.7","0","管理学1区",,"SAGE","0149-2063","1557-1211",,
"109","Annals of Mathematics","Ann. Math.","5.3","6.3","1","数学1区","数学1区",,"0003-486X",,,
"110","American Economic Journal: Applied Economics","Am. Econ. J.: Appl. Econ.","6.2","8.5","0","经济学1区",,,"1945-7790","1945-7782",,
"111","Progress in Materials Science","Prog. Mater. Sci.","40","44.8","1","材料科学1区","工程技术1区","Elsevier","1873-2208","0079-6425",,"https://rss.sciencedirect.com/publication/science/00796425"
"112","Journal of Consumer Research","J. Consum. Res.","6.4","9.4","0","管理学2区",,"Oxford","0093-5301","1537-5277",,
"113","European Urology","Eur. Urol.","25.2","22","1","医学1区","医学1区","Elsevier","1873-7560","0302-2838",,"https://rss.sciencedirect.com/publication/science/03022838"
"114","The Lancet Public Health","Lancet Public Health","25.2","29.8","1","医学1区","医学1区","Elsevier","2468-2667",,,"https://rss.sciencedirect.com/publication/science/24682667"
"115","Journal of Accounting Research","J. Account. Res.","6.3","7.3","0","管理学1区",,"Wiley","1475-679X","1475-679X",,"https://onlinelibrary.wiley.com/feed/1475679X/most-recent"
"116","Advanced Energy Materials","Adv. Energy Mater.","26","26.8","1","材料科学1区","工程技术1区","Wiley","1614-6832","1614-6840",,"https://onlinelibrary.wiley.com/feed/16146840/most-recent"
"117","JAMA Oncology","JAMA Oncol.","20.1","24.7","1","医学1区","医学1区",,"2374-2445","2374-2437",,
"118","Annual Review of Public Health","Annu. Rev. Public Health","20.7","28.4","1","医学1区","医学1区","Annual Reviews","0163-7525","1545-2093",,
"119","Journal of Economic Perspectives","J. Econ. Perspect.","8.8","14.4","0","经济学1区",,,"0895-3309",,,
"120","Annual Review of Fluid Mechanics","Annu. Rev. Fluid Mech.","30.2","32.6","1","工程技术1区","工程技术1区","Annual Reviews","1545-4479","0066-4189",,
"121","Annual Review of Plant Biology","Annu. Rev. Plant Biol.","26.5","30.5","1","生物学1区","生物1区","Annual Reviews","1545-2123","1543-5008",,
"122","Review of Finance","Rev. Finance","8.4","7.8","0","经济学2区",,"Oxford","1573-692X","1572-3097",,
"123","Science Immunology","Sci. Immunol.","16.4","17.8","1","医学1区","医学1区","AAAS","2470-9468",,"https://www.science.org/journal/sciimmunol/research","https://www.science.org/action/showFeed?type=etoc&feed=rss&jc=sciimmunol"
"124","Innovation","Innovation","25.7","40.2","0","综合性期刊1区",,"Elsevier","2666-6758",,,"https://rss.sciencedirect.com/publication/science/26666758"
"125","Nano-Micro Letters","Nano-Micro Lett.","36.3","30.1","1","材料科学1区","工程技术1区",,"2311-6706","2150-5551",,
"126","Annual Review of Economics","Annu. Rev. Econ.","11.4","12.2","0","经济学1区",,"Annual Reviews","1941-1383","1941-1391",,
"127","Nature Climate Change","Nat. Clim. Change","27.1","32.9","1","地球科学1区","地学1区","Springer Nature","1758-6798","1758-678X","https://www.nature.com/nclimate/research-articles","https://www.nature.com/nclimate.rss"
"128","Progress in Energy and Combustion Science","Prog. Energy Combust. Sci.","37","39.3","1","工程技术1区","工程技术1区","Elsevier","0360-1285",,,"https://rss.sciencedirect.com/publication/science/03601285"
"129","Organization Science","Organ. Sci.","5.4","7.2","0","管理学2区",,,"1526-5455","1047-7039",,
"130","Annual Review of Clinical Psychology","Annu. Rev. Clin. Psychol.","16.5","24.3","1","心理学1区","医学1区","Annual Reviews","1548-5951","1548-5943",,
"131","Nature Reviews Bioengineering","Nat. Rev. Bioeng.","37.6","37.6","0",,,"Springer Nature","2731-6092",,"https://www.nature.com/natrevbioeng/research-articles","https://www.nature.com/natrevbioeng.rss"
"132","Advances in Optics and Photonics","Adv. Opt. Photonics","23.8","31.5","1","物理与天体物理1区","物理1区",,"1943-8206",,,
"133","Journal of Thoracic Oncology","J. Thorac. Oncol.","20.8","18.4","1","医学1区","医学1区","Elsevier","1556-1380","1556-0864",,"https://rss.sciencedirect.com/publication/science/15560864"
"134","American Economic Journal: Economic Policy","Am. Econ. J.: Econ. Policy","5.3","7.6","0","经济学1区",,,"1945-7731","1945-774X",,
"135","Nature Reviews Endocrinology","Nat. Rev. Endocrinol.","42.3","48","1","医学1区","医学1区","Springer Nature","1759-5037","1759-5029","https://www.nature.com/nrendo/research-articles","https://www.nature.com/nrendo.rss"
"136","Journal of Monetary Economics","J. Monet. Econ.","4.1","5.1","0","经济学1区",,"Elsevier","0304-3932",,,"https://rss.sciencedirect.com/publication/science/03043932"
"137","Annual Review of Physiology","Annu. Rev. Physiol.","19.1","24.9","1","医学1区","医学1区","Annual Reviews","0066-4278","1545-1585",,
"138","Electrochemical Energy Reviews","Electrochem. Energy Rev.","36.3","34.1","1","材料科学1区","工程技术1区","Springer Nature","2520-8136","2520-8489",,
"139","Nucleic Acids Research","Nucleic Acids Res.","13.1","16.8","1","生物学2区","生物1区","Oxford","0305-1048","1362-4962",,
"140","Nature Cell Biology","Nat. Cell Biol.","19.5","22.8","1","生物学1区","生物1区","Springer Nature","1476-4679","1465-7392","https://www.nature.com/ncb/research-articles","https://www.nature.com/ncb.rss"
"141","Marketing Science","Mark. Sci.","4.9","6.6","0","管理学3区",,,"0732-2399","1526-548X",,
"142","Nature Metabolism","Nat. Metab.","20.8","23.2","1","医学1区","医学1区","Springer Nature","2522-5812",,"https://www.nature.com/natmetab/research-articles","https://www.nature.com/natmetab.rss"
"143","Journal of Accounting and Economics","J. Account. Econ.","6.8","9.3","0","管理学1区",,"Elsevier","0165-4101",,,"https://rss.sciencedirect.com/publication/science/01654101"
"144","Journal of the European Economic Association","J. Eur. Econ. Assoc.","3.3","4.6","0","经济学2区",,"Wiley","1542-4774","1542-4774",,
"145","The Lancet Psychiatry","Lancet Psychiatry","24.8","33","1","医学1区","医学1区","Elsevier","2215-0374","2215-0366",,"https://rss.sciencedirect.com/publication/science/22150366"
"146","Living Reviews in Solar Physics","Living Rev. Sol. Phys.","27.6","26.1","1","物理与天体物理1区","地学天文1区","Springer Nature","1614-4961","2367-3648",,
"147","Review of Economics and Statistics","Rev. Econ. Stat.","6.8","7.8","0","经济学1区",,,"0034-6535","1530-9142",,
"148","Interdisciplinary Materials","Interdiscip. Mater.","31.6","31.6","0","材料科学1区",,"Wiley","2767-441X","2767-441X",,"https://onlinelibrary.wiley.com/feed/2767441X/most-recent"
"149","Nature Reviews Nephrology","Nat. Rev. Nephrol.","39.8","44.5","1","医学1区","医学1区","Springer Nature","1759-507X","1759-5061","https://www.nature.com/nrneph/research-articles","https://www.nature.com/nrneph.rss"
"150","Foundations and Trends in Signal Processing","Found. Trends Signal Process.","5.7","12","0","工程技术4区",,,"1932-8346","1932-8354",,
"151","Nature Sustainability","Nat. Sustain.","27.1","32.8","1","环境科学与生态学1区","环境科学与生态学1区","Springer Nature","2398-9629",,"https://www.nature.com/natsustain/research-articles","https://www.nature.com/natsustain.rss"
"153","Gastroenterology","Gastroenterology","25.9","27.1","1","医学1区","医学1区","Elsevier","1528-0012","0016-5085",,"https://rss.sciencedirect.com/publication/science/00165085"
"154","Nature Physics","Nat. Phys.","18.4","21.2","1","物理与天体物理1区","物理1区","Springer Nature","1745-2473",,"https://www.nature.com/nphys/research-articles","https://www.nature.com/nphys.rss"
"155","Annual Review of Neuroscience","Annu. Rev. Neurosci.","13.2","16.9","1","医学1区","医学1区","Annual Reviews","0147-006X","1545-4126",,
"156","Nature Aging","Nat. Aging","19.5","22","1","医学1区",,"Springer Nature","2662-8465",,"https://www.nature.com/nataging/research-articles","https://www.nature.com/nataging.rss"
"157","Cell Host and Microbe","Cell Host Microbe","18.7","20.5","1","医学1区","生物1区","Elsevier","1934-6069","1931-3128",,"https://rss.sciencedirect.com/publication/science/19313128"
"158","Nature Reviews Psychology","Nat. Rev. Psychol.","21.8","21.8","0","心理学1区",,"Springer Nature","2731-0574",,"https://www.nature.com/nrpsychol/research-articles","https://www.nature.com/nrpsychol.rss"
"159","Materials Science and Engineering R: Reports","Mater. Sci. Eng. R: Rep.","26.8","36.7","1","材料科学1区","工程技术1区","Elsevier","0927-796X",,,"https://rss.sciencedirect.com/publication/science/0927796X"
"160","Journal of the American Mathematical Society","J. Am. Math. Soc.","3.2","4.1","1","数学1区","数学1区",,"1088-6834","0894-0347",,
"161","IEEE Journal on Selected Areas in Communications","IEEE J. Sel. Areas Commun.","17.2","17.4","1","计算机科学1区","工程技术1区","IEEE","0733-8716",,,
"162","Neuro-Oncology","Neuro-Oncol.","13.4","16","1","医学1区","医学1区","Oxford","1522-8517","1523-5866",,
"163","Journal of Marketing Research","J. Mark. Res.","5","8.1","0","管理学2区",,,"0022-2437","1547-7193",,
"164","Advances in Methods and Practices in Psychological Science","Adv. Methods Pract. Psychol. Sci.","13.4","18.5","1","心理学1区",,"SAGE","2515-2459","2515-2467",,
"165","Annual Review of Political Science","Annu. Rev. Polit. Sci.","9.5","16.7","0","社会学1区",,"Annual Reviews","1094-2939","1545-1577",,
"166","Journal of the Academy of Marketing Science","J. Acad. Mark. Sci.","10.1","15.8","0","管理学2区",,"Springer Nature","0092-0703","1552-7824",,
"167","Nature Microbiology","Nat. Microbiol.","19.4","20.7","1","生物学1区","生物1区","Springer Nature","2058-5276",,"https://www.nature.com/nmicrobiol/research-articles","https://www.nature.com/nmicrobiol.rss"
"168","Entrepreneurship Theory and Practice","Entrep. Theory Pract.","7.9","12.8","0","管理学2区",,"SAGE","1042-2587","1540-6520",,
"169","Organization Theory","Organ. Theory","6.4","9.4","0",,,"SAGE","2631-7877",,,
"170","The Lancet Digital Health","Lancet Digit. Health","24.1","27.6","1","医学1区","医学1区","Elsevier","2589-7500",,,"https://rss.sciencedirect.com/publication/science/25897500"
"171","Journal of Applied Psychology","J. Appl. Psychol.","6.1","10.6","0","心理学1区",,"APA","1939-1854","0021-9010",,
"172","ACS Energy Letters","ACS Energy Lett.","18.9","20.8","1","材料科学1区","工程技术1区","American Chemical Society","2380-8195",,,"https://pubs.acs.org/action/showFeed?type=axatoc&feed=rss&jc=aelccp"
